Terminology,Definition
Effective draught temperature (EDT),"Effective Draught Temperature (EDT) is a parameter used to assess the comfort level of an indoor environment by considering both the air temperature and air movement. It is calculated as the difference between the local air temperature and the average room temperature, adjusted for the local air velocity. EDT helps in evaluating the likelihood of occupants experiencing discomfort due to drafts, with lower values indicating a more comfortable environment."
Effective temperature (ET),Effective Temperature (ET) is a measure that combines both air temperature and humidity to represent the overall thermal comfort or sensation felt by an occupant.
electrical manikin tests,"experimental procedures that use a manikin equipped with electrical sensors. The manikin mimics the body’s heat exchange processes, allowing researchers to assess how different environmental factors like air temperature, humidity, and air movement affect thermal comfort, which is useful in evaluating energy performance and occupant comfort in indoor spaces."
Electrodermal activity,"A measure of the skin’s electrical conductance, influenced by sweat gland activity. EDA is a common psychophysiological indicator of stress and is recorded via sensors placed on the skin."
Electroencephalography,"A non-invasive technique for measuring the brain’s electrical activity via electrodes on the scalp. It provides insights into cognitive states, alertness, and various aspects of brain function."
Energy consumption of PECS,"In the context of PECS, energy consumption is an index that quantifies the amount of energy utilized by PECS device to maintain or adjust comfort levels for individual occupants. It reflects the power used by localized heating, cooling, or ventilation devices and is used to evaluate the efficiency of PECS in personalized tailored thermal comfort."
Energy cost,"Energy Cost refers to the financial expense associated with the consumption of energy for operating systems, equipment, or processes"
Energy savings of PECS,"Energy savings refers to the reduction in energy use that results from implementing more efficient technologies, systems, or practices within PECS. It indicates how much less energy is consumed compared to conventional systems, highlighting the improved efficiency of personalized environmental controls in providing occupant comfort."
Entrainment,"Entrainment is the process by which a fluid flow (such as air or water) draws in and transports surrounding fluid or particles. In ventilation systems, entrainment occurs when a high-velocity air stream induces the movement of ambient air, facilitating the removal of heat, moisture, and contaminants from a space."
Equivalent contact temperature (ECT),"A theoretical, uniform-surface temperature used to represent how much conduction-based heat an occupant exchanges with a seat or other contact surface under near-zero air velocity. By matching the actual conductive heat flux—while simplifying or ignoring airflow effects—ECT provides a straightforward way to evaluate local thermal comfort at the occupant–surface interface in seat-based/ contact based or similar PECS."
Equivalent environment,"A conceptual, uniform reference environment that simulates the overall thermal sensation and heat exchange of the actual, non-uniform environment at the occupant–seat interface. In this equivalent environment, variations in air velocity and humidity are disregarded and active seat conditioning is disabled, so that heat transfer occurs solely by conduction. This simplification allows the conductive heat transfer in the equivalent environment to match the combined effects of conduction, moisture flow, and thermal conditioning observed in the real environment."
Equivalent heat flux (qECT),"It is the theoretical heat flow in the contact area under the Equivalent Contact Temperature conditions. This metric encapsulates the net conductive exchange that would occur if the environment were replaced by the simplified, uniform equivalent."
Equivalent Homogeneous Temperature (EHT),"A scalar temperature that represents a complex, non-uniform thermal environment with a single, uniform value. EHT is defined such that the overall heat exchange between the environment and the human body is equivalent to that occurring in the actual non uniform setting. In PECS applications, EHT provides a simplified metric for assessing both local (contact area) and global thermal comfort by integrating the effects of various heat transfer processes into one representative temperature value."
Equivalent temperature (ET),"A general term describing the single temperature of a notional uniform environment in which a person (or body segment) would experience the same net heat loss as in the actual, non-uniform environment. Standards such as DIN EN ISO 14505-2 formalize ET for thermal comfort evaluations, originally focusing on non-contact areas but also adapted for seat-contact conditions."
Equivalent temperature (Manikin),"Manikin-based equivalent temperature (teq) is defined as the temperature of a uniform enclosure in which a
 thermal manikin with realistic skin surface temperatures would lose heat at the same rate as it would in the actual environment."
"Evaporative heat flux""","The rate of heat removal due to moisture evaporation (e.g., sweat) from the skin or clothing surfaces. This latent heat exchange becomes particularly important in warm or humid conditions where perspiration is a key factor in maintaining thermal balance."
Exposure Risk – Direct,The likelihood that a contaminant-laden exhalation jet from one individual travels directly into another occupant’s breathing zone with minimal dilution. This direct path can significantly increase the potential for infection or pollutant inhalation.
Exposure Risk – Indirect,"The likelihood that contaminants exhaled by one occupant become dispersed and mixed by general ventilation before eventually reaching another occupant’s breathing zone. Though diluted, indirect exposure can still pose risks if the contaminant persists in the indoor air."
Exposure Risk Index,"A dimensionless parameter comparing contaminant concentration in an occupant’s breathing zone (Cbz) to that in the general environment (Ce). Values above 1 suggest higher-than-ambient contamination at the breathing zone, whereas values below 1 indicate a protective effect of ventilation or localized airflow."
Exposure Time,"The duration over which an individual is subjected to a given environmental condition or contaminant level. Short exposure intervals may mitigate adverse health effects or discomfort, whereas prolonged exposures can elevate the risk of infection or thermal stress."
Eye dryness,"Eye dryness is a specific form of eye irritation characterized by insufficient tear production or increased tear evaporation, leading to a dry, gritty, or fatigued sensation in the eyes. It is commonly aggravated by air movement from ventilation systems, particularly when airflow is directed at the face, as well as by low indoor humidity and prolonged exposure to screen-based work. It can be assessed using a subjective percentage scale, with participants rating their irritation from 0% to 100%"
Irritation of eyes / Eyes irritation,"Eye irritation refers to a subjective discomfort sensation in the eyes caused by environmental factors such as low humidity, air movement, thermal conditions, and indoor pollutants. It may manifest as redness, itching, burning, or excessive tearing. In the context of PECS, eye irritation is influenced by airflow direction, cooling intensity, and tear film stability, impacting overall occupant comfort. It can be assessed using a subjective percentage scale, with participants rating their irritation from 0% to 100%"
Fresh air ratio,The proportion of outdoor (fresh) air supplied in a ventilation system relative to recirculated air. High fresh air ratios improve indoor air quality but can increase energy consumption; lower ratios save energy yet may elevate the risk of contaminant build-up.
Fuzzy system,Decision-making strategy when a machine learning framework or artificial intelligence is used. It may be stated generally as evaluating actual variable values ranging from 0 and 1. Fuzzy logic is applied to represent real numbers between 0 and 1
Heart Rate Variability,"The variation in the time interval between consecutive heartbeats. HRV is an important indicator of autonomic nervous system activity, commonly used to assess stress, fatigue, and overall cardiovascular health."
Heat flux by permeation into the seat,"this term describes moisture-related heat transfer through vapor permeation into seat materials. It accounts for the diffusion of water vapor from the occupant’s skin/clothing into the seat structure, contributing to overall latent heat exchange at the contact area."
Heat Flux by Seat Heater,it is the thermal energy provided by an integrated seat heating element. This localized heating influences the occupant’s thermal sensation by elevating the contact surface temperature.
Heat Flux through Clothing,"it is the net thermal energy passing through clothing layers between the skin and the environment or seat. In contact areas, conduction typically dominates, though convective and radiative components may also be present."
Heat Flux through Seat,"it is the overall thermal energy transferred across seat layers from the occupant’s body to the ambient environment (or vice versa). It includes conductive, convective, and radiative components within the seat materials."
Heat Transfer Coefficient for Clothing – Contact Area,"this coefficient quantifies the rate of conductive heat transfer through clothing in the seat-contact region, reflecting how effectively heat flows across the garment layers where the body directly meets the seat."
Heat Transfer Coefficient for Seating – Contact Area,it characterizes the conductive heat transfer between the seat surface and occupant at the contact interface. This parameter depends on the thermal properties and thickness of the seat material.
Heating PECS,PECS device that delivers heating
Heating Performance of PECS,"Heating performance of PECSrefers to the system’s ability to deliver localized heating efficiently by targeting specific body areas, ensuring thermal comfort while minimizing energy use. It can be assessed based on metrics such as temperature correction capacity, corrective power, temeprature correction capacity efficiency etc."
Heating with Ventilation,Personalized radiative heating refers to a localized heating strategy that uses radiative heat transfer mechanism.
Human-Centered Closed Loop Control,"Human-Centered Closed Loop Control is a dynamic, automated control approach that actively incorporates real-time sensor data and user feedback to regulate environmental conditions. The system operates in a continuous feedback loop—monitoring environmental parameters and human responses, processing this information via predictive models, and adjusting actuators accordingly—to maintain or achieve optimal thermal comfort tailored to individual needs."
Impinge jet ventilation,"Type of background ventilation system - IJV delivers fresh air to a room based on the impinging jet principle (where a high-velocity jet of fluid, typically air, is directed towards a surface or an obstacle. When the jet strikes the surface, it spreads out radially along the surface, creating a distinct flow pattern). The supply device is the duct itself which delivers the supplied air at a certain height above the floor, and the air extraction is usually located at a high level near the ceiling"
Incoming Heat Flux by Seat Ventilation,"it is the thermal energy introduced to the contact area via ventilated seat systems, typically aiming to cool or dry the occupant’s back and buttocks by delivering conditioned air into the seat microclimate."
Infrared thermography,"Infrared Thermography (IRT) is a non-contact imaging technique that captures surface temperature variations using infrared radiation. In PECS research, it is used to assess skin temperature distribution, evaluate localized heating and cooling effectiveness, and monitor thermal interactions between occupants and their environment."
Inhaled Air Temperature,"The temperature of the air entering an occupant’s respiratory system. Studies indicate that cooler inhaled air can affect autonomic regulation, increasing heart rate variability (HRV) and potentially influencing thermal comfort and stress responses"
Intake Fraction (Direct Contamination),it is the ratio of the particle concentration measured at a susceptible occupant’s breathing zone to the source concentration. This value reflects the percentage of emitted contaminants that ultimately reach and are inhaled by another individual.
intermittent air jet system,"an intermittent air jet system involves the periodic emission of high-velocity air jets directed toward the occupant's breathing zone. This approach enhances convective cooling by delivering bursts of cool air, effectively removing heat from the occupant's body and improving thermal comfort. The intermittent nature of the airflow allows for efficient cooling while minimizing energy consumption and preventing discomfort associated with continuous high-velocity air streams."
intermittent gusts,"Intermittent gusts are bursts of air that fluctuate at low frequencies, typically causing dynamic changes in thermal comfort. These changes in airspeed are perceived as cooling fluctuations that are more significant to comfort perception than steady, constant airflow. In natural ventilation systems, intermittent gusts can provide a more effective cooling experience by creating transient changes in the rate of cooling, influencing how occupants perceive comfort."
Irritation of lips,"A subjective sensation of dryness, chapping, or discomfort on the lips, often triggered by low humidity, high air velocity, or exposure to extreme temperatures. This irritation can impact perceived air quality and overall comfort."
Irritation of nose,"A subjective experience of dryness, itchiness, or discomfort in the nasal passages, commonly arising from insufficient humidity, excessive airflow, or airborne irritants. Persistent nose irritation may reduce occupant satisfaction with the indoor environment."
Irritation of skin,"A subjective feeling of dryness, tightness, itching, or sensitivity on the skin, typically resulting from environmental stressors such as low relative humidity, high temperatures, or contact with allergens. Skin irritation is often used as an indicator of indoor environmental quality."
isothermal air convection,"Isothermal air convection refers to the process of using airflows at a constant temperature to transfer heat to or from a body or space. In the context of thermal comfort, it involves directing air at a steady temperature toward specific areas to enhance comfort without changing the overall ambient temperature."
Isothermal Airflow,"Isothermal airflow refers to the movement of air at a constant temperature, where the thermal energy remains unchanged throughout the flow"
isothermal analysis,"This refers to a computational approach where the temperature throughout the flow field is assumed to be constant. In the CFD analysis, isothermal analysis simplifies the simulation by neglecting thermal gradients, thereby focusing solely on the airflow patterns without accounting for buoyancy effects due to temperature variations."
"k-dependence threelayer
 log law","This concept pertains to the near-wall treatment in turbulence modeling. It divides the near-wall region into three distinct layers—the viscous sublayer, the buffer layer, and the logarithmic layer—and incorporates the turbulence kinetic energy (k) into the formulation. This approach refines the prediction of velocity profiles and shear stresses in the boundary layer, ensuring better accuracy in simulating the flow dynamics adjacent to walls."
k-ε model,"The k-ε (k-epsilon) model is a widely used two-equation turbulence model that solves transport equations for turbulence kinetic energy (k) and its dissipation rate (ε). In the CFD study of the lavatory, this model is employed to predict the turbulent characteristics of the airflow, balancing computational efficiency with reasonable accuracy for engineering applications."
Lagrangian Relaxation,Relaxation method which approximates a difficult problem of constrained optimization by a simpler problem
Local Air Change Index,"Also called the Local Air Change (εa,P) or Ventilation Efficiency at a point, it is the ratio of the nominal age of air (𝜏n) to the local mean age of air (τ p). Higher values imply faster air renewal and potentially better pollutant removal at that local zone."
Local air jets,"local air jets are targeted streams of air delivered to specific body areas or spaces to enhance thermal comfort. These air jets are typically used to correct temperature imbalances in non-neutral ambient environments by directing airflow at the occupant's body, creating a localized cooling or heating effect."
Local boundary conditions,"Local Boundary Conditions refer to the specific constraints or parameters applied at the interface between different regions in a simulation or physical system. These conditions define how heat, mass, or momentum transfer occurs at localized points within the model, ensuring accurate representation of interactions between surfaces, materials, and the surrounding environment. In a computational model of air ventilation clothing, a local boundary condition could define the heat flux between the wearer's skin and the inner surface of the garment."
local exhaust ventilation,"Local Exhaust Ventilation (LEV) is a ventilation strategy that captures and removes airborne contaminants directly at their source, preventing their dispersion into the general workspace. This approach is commonly used in various industries to control exposure to hazardous substances, including dust, fumes, vapors, and gases. A typical LEV system consists of a hood to capture contaminants, ducting to transport the contaminated air, an air cleaner or filter to remove pollutants, a fan to move the air, and an exhaust point to discharge the cleaned air safely."
Local pleasantness of jet,"The degree to which occupants subjectively evaluate the cooling jet as providing a pleasing sensation on the part of the body directly exposed to it. This measure reflects how well the temperature, velocity, and distribution of the air jet contribute to a feeling of localized comfort."
Local purging flow rate (LPFR),"A localized measure derived from the overall purging flow rate that indicates the effective delivery of fresh air to a specific point or zone within a room. LPFR evaluates how well a ventilation system purges contaminants from targeted areas, where a higher LPFR suggests that the point receives a greater proportion of fresh air relative to contaminants."
Local Skin Temperature,"The temperature of a specific body region, which is influenced by environmental conditions, clothing, and PECS. It plays a crucial role in localized thermal perception and whole-body thermal comfort."
Local Stimuli,"External thermal influences (such as heating, cooling, or airflow) applied to a specific body segment to modify its thermal state and comfort level."
Local Thermal Comfort,"The subjective sensation of thermal comfort experienced at a specific body segment, which may differ from whole-body comfort. It is influenced by local skin temperature and targeted thermal stimuli."
Local Thermal Sensation,"The subjective temperature perception experienced by a particular body region, which may differ from sensations felt elsewhere."
Local unpleasantness of jet,"The extent to which occupants perceive the direct impact of the cooling jet as discomforting or irritating. This negative evaluation typically arises when the air jet is too forceful or excessively cool for the area it contacts, leading to localized discomfort."
Lumped Parameter System,"A simplified thermal model that groups complex physical domains into discrete “nodes” with aggregated properties (e.g., environment, seat surfaces, clothing layers, skin). Each node exchanges heat and moisture with the others, facilitating tractable analysis of multi-node occupant–seat–environment interactions."
Manikin based equivalent temperature Teq (manikin),"Manikin-based equivalent temperature is defined as the temperature of a uniform environment in which a thermal manikin, with realistic skin surface temperatures, would exchange the same amount of heat by convection and radiation as it does in the actual, non-uniform environment. This metric is instrumental in assessing thermal comfort, as it accounts for the combined effects of air temperature, radiant temperature, and air movement on the human body"
Mean Age of Air / Local Mean Age of Air,"The average residence time of air from its entry point (e.g., supply diffuser) to a specified location in a room. A lower mean age of air signifies fresher air at that location, whereas a higher mean age suggests slower ventilation effectiveness."
Mean distal skin temperature,"Mean Distal Skin Temperature refers to the average temperature of the skin on the body's distal regions, such as the hands, fingers, feet, and toes. These areas are more sensitive to thermoregulation and serve as key indicators of peripheral blood circulation and thermal comfort."
Mean draught risk (DR),An averaged index quantifying the likelihood of draft-induced discomfort across multiple body regions or multiple occupants. It aggregates local draught risk assessments into one overall measure for a given environment.
Mixing Ventilation,"Mixing ventilation is a strategy where conditioned air is supplied at high velocities to a space, promoting the mixing of supply air with room air. This process results in a uniform distribution of air temperature, humidity, and quality throughout the room. Mixing ventilation is commonly used in various applications, including offices, classrooms, and industrial spaces, to maintain consistent environmental conditions."
Multi-Agent Controls Systems,"Multi-Agent Control Systems involve multiple intelligent agents, each capable of performing some level of control, and working collaboratively to achieve a specific set of system-wide objectives. In the context of PECS, MACS could be used to optimize various aspects like temperature, lighting, and air quality across different zones or settings, enhancing both efficiency and user comfort."
multi-nodal human thermal comfort numerical model,"A computational approach that segments the human body into multiple “nodes,” each with distinct thermal and physiological properties. This model predicts how each body region responds to environmental conditions, offering detailed insights into overall thermal comfort."
"Multi-Objective Optimization
 (MOOP) problem","This problem involves optimizing two or more conflicting objectives simultaneously under a given set of constraints. In intelligent building systems, this could relate to optimizing for energy efficiency while maximizing user comfort, requiring trade-offs between different comfort parameters and energy usage."
Multi-segment physiology,"Multi-segment physiology in a broader sense refers to the scientific study of how various parts of the body respond independently to environmental stimuli, focusing on the differential thermal, mechanical, and physiological behaviors of distinct body segments. This field examines how different body parts—like the head, torso, arms, and legs—react uniquely to changes in temperature, pressure, and other factors."
Neural Network controls,"Neural Network controls utilize artificial neural networks for controlling dynamic systems. These controls are a form of adaptive control that employs machine learning techniques to model complex relationships between inputs and outputs or to predict future states of a system. In building environments, NN controls can adaptively manage energy consumption and maintain comfort levels by learning from historical data and real-time feedback."
Neutral temperature,"Neutral temperature is defined as the ambient temperature at which the majority of people feel neither too warm nor too cold, experiencing thermal comfort. This temperature is used as a benchmark in various thermal comfort models to ensure environments are optimized for human comfort."
Non-Target Segments,Body regions that do not receive direct thermal stimuli from a PECS but may still be indirectly affected by changes in overall body heat distribution.
